"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"F7","FIDUCIAL_1MM","-1431.923mil","-97.275mil","-1431.923mil","-97.275mil","-1431.923mil","-97.275mil","B","180.00",""
"F6","FIDUCIAL_1MM","-265.286mil","-250.555mil","-265.286mil","-250.555mil","-265.286mil","-250.555mil","B","180.00",""
"F4","FIDUCIAL_1MM","-265.286mil","-250.555mil","-265.286mil","-250.555mil","-265.286mil","-250.555mil","T","0.00",""
"F3","FIDUCIAL_1MM","-1431.923mil","-97.275mil","-1431.923mil","-97.275mil","-1431.923mil","-97.275mil","T","0.00",""
"X2","Xtal_smd_3.2X2.5","-439.555mil","-592.088mil","-439.303mil","-592.434mil","-407.807mil","-635.741mil","T","90.00","Xtal 16"
"U6","DFN8_U-DFN3030-8","-1402.86mil","-251.187mil","-1402.86mil","-251.187mil","-1348.726mil","-289.573mil","T","90.00",""
"ICSP4","TC2050-IDC-NL","-854.466mil","-289.743mil","-1004.466mil","-289.743mil","-954.466mil","-264.743mil","B","360.00","TC2050"
"BLE2","QS9322","-1260.582mil","-1362.698mil","-1083.417mil","-1175.69mil","-1437.747mil","-1549.706mil","T","180.00","QS9322"
"BLE1","QS9322","-239.37mil","-1362.647mil","-62.205mil","-1175.639mil","-416.535mil","-1549.655mil","T","180.00","QS9322"
"BLE3","QS9322","-750.001mil","-1362.698mil","-572.836mil","-1175.69mil","-927.167mil","-1549.706mil","T","180.00","QS9322"
"P3","Ribbon_12_1.27mm","-1418.389mil","-673.546mil","-1418.389mil","-948.546mil","-1418.389mil","-948.546mil","T","180.00","Ribon Cable pads 12 pads"
"C6","CAP_0402","-1201.389mil","-682.785mil","-1201.388mil","-682.785mil","-1183.278mil","-682.785mil","T","180.00",""
"C7","CAP_0402","-1021.688mil","-386.403mil","-1021.688mil","-386.403mil","-1021.688mil","-404.513mil","T","90.00",""
"C8","CAP_0402","-582.001mil","-748.503mil","-582.001mil","-748.503mil","-600.112mil","-748.503mil","T","360.00",""
"C9","CAP_0402","-847.708mil","-383.079mil","-847.708mil","-383.079mil","-847.708mil","-401.189mil","T","90.00",""
"C10","0603","-1191.775mil","-460.31mil","-1191.106mil","-460.178mil","-1230.161mil","-460.31mil","T","360.00",""
"C11","CAP_0402","-1169.746mil","-525.797mil","-1169.746mil","-525.797mil","-1169.746mil","-543.907mil","T","90.00",""
"C12","CAP_0402","-593.291mil","-671.417mil","-593.291mil","-671.417mil","-611.402mil","-671.417mil","T","360.00",""
"C13","CAP_0402","-782.812mil","-984.905mil","-782.812mil","-984.905mil","-800.922mil","-984.905mil","T","360.00",""
"C14","CAP_0402","-977.596mil","-386.931mil","-977.596mil","-386.931mil","-977.596mil","-405.041mil","T","90.00",""
"C18","0603","-157.344mil","-666.385mil","-157.212mil","-667.055mil","-157.344mil","-627.999mil","T","270.00",""
"C19","CAP_0402","-233.91mil","-636.251mil","-233.91mil","-636.251mil","-233.91mil","-618.14mil","T","270.00",""
"C20","CAP_0402","-41.417mil","-1129.815mil","-41.417mil","-1129.815mil","-41.417mil","-1111.705mil","T","270.00",""
"C21","CAP_0402","-1037.093mil","-1166.041mil","-1037.093mil","-1166.041mil","-1037.093mil","-1147.931mil","T","270.00",""
"C22","CAP_0402","-539.233mil","-1122.741mil","-539.233mil","-1122.741mil","-539.233mil","-1104.631mil","T","270.00",""
"C29","0603","-1415.65mil","-344.937mil","-1414.981mil","-344.805mil","-1454.036mil","-344.937mil","T","360.00",""
"C30","0603","-1238.293mil","-275.341mil","-1238.426mil","-274.671mil","-1238.293mil","-313.727mil","T","90.00",""
"D2","LED_RGB","-422.047mil","-93.701mil","-422.047mil","-93.701mil","-393.504mil","-110.433mil","T","180.00","LED2_RGB"
"L2","0603","-578.127mil","-431.564mil","-578.259mil","-430.895mil","-578.127mil","-469.95mil","T","90.00",""
"R10","RES_0402","-96.672mil","-229.791mil","-96.672mil","-229.791mil","-78.955mil","-229.791mil","T","180.00",""
"R11","RES_0402","-597.495mil","-232.72mil","-597.495mil","-232.72mil","-579.779mil","-232.72mil","T","180.00",""
"R12","RES_0402","-1351.785mil","-96.883mil","-1351.785mil","-96.883mil","-1351.785mil","-79.166mil","T","270.00",""
"R13","RES_0402","-92.747mil","-550.999mil","-92.747mil","-550.999mil","-110.464mil","-550.999mil","T","360.00",""
"R14","RES_0402","-93.071mil","-741.257mil","-93.071mil","-741.257mil","-110.788mil","-741.257mil","T","360.00",""
